iter	Passed	Remaining
404	10004	14698
405	10028	14672
406	10052	14646
407	10075	14619
408	10099	14594
409	10125	14571
410	10164	14567
411	10199	14556
412	10224	14532
413	10245	14502
414	10273	14482
415	10307	14470
416	10339	14455
417	10384	14459
418	10424	14455
419	10460	14445
420	10494	14432
421	10530	14423
422	10557	14401
423	10599	14399
424	10627	14378
425	10668	14374
426	10705	14366
427	10741	14355
428	10764	14328
429	10788	14300
430	10816	14279
431	10842	14255
432	10865	14228
433	10892	14205
434	10914	14176
435	10939	14150
436	10964	14125
437	10983	14092
438	11007	14066
439	11031	14040
440	11055	14013
441	11076	13983
442	11101	13958
443	11124	13930
444	11150	13906
445	11173	13879
446	11195	13849
447	11216	13820
448	11238	13791
449	11261	13764
450	11283	13735
451	11306	13708
452	11325	13675
453	11349	13648
454	11372	13622
455	11397	13597
456	11423	13572
457	11451	13551
458	11473	13523
459	11494	13494
460	11518	13467
461	11542	13440
462	11565	13414
463	11591	13389
464	11612	13360
465	11635	13332
466	11654	13302
467	11679	13276
468	11701	13248
469	11721	13218
470	11742	13188
471	11761	13157
472	11781	13126
473	11802	13097
474	11821	13066
475	11841	13035
476	11861	13005
477	11883	12977
478	11903	12947
479	11923	12916
480	11945	12889
481	11965	12859
482	11984	12828
483	12005	12799
484	12025	12769
485	12045	12739
486	12066	12710
487	12086	12681
488	12107	12651
489	12128	12623
490	12149	12594
491	12170	12566
492	12190	12536
493	12211	12508
494	12232	12479
495	12253	12450
496	12273	12421
497	12294	12393
498	12315	12364
499	12336	12336
500	12356	12306
501	12374	12275
502	12393	12245
503	12415	12218
504	12434	12187
505	12453	12158
506	12473	12128
507	12491	12098
508	12510	12067
509	12529	12037
510	12547	12007
511	12566	11977
512	12585	11947
513	12605	11918
514	12624	11889
515	12644	11859
516	12663	11830
517	12682	11801
518	12701	11771
519	12720	11742
520	12739	11712
521	12757	11682
522	12776	11652
523	12794	11622
524	12813	11593
525	12831	11563
526	12850	11533
527	12869	11504
528	12888	11475
529	12907	11446
530	12926	11417
531	12948	11390
532	12966	11361
533	12985	11332
534	13004	11303
535	13023	11274
536	13042	11245
537	13061	11216
538	13080	11187
539	13099	11158
540	13117	11129
541	13136	11100
542	13155	11071
543	13174	11043
544	13193	11014
545	13213	10986
546	13232	10958
547	13250	10929
548	13269	10900
549	13289	10872
550	13308	10844
551	13326	10815
552	13344	10786
553	13363	10758
554	13382	10729
555	13401	10701
556	13420	10673
557	13438	10645
558	13457	10616
559	13477	10589
560	13496	10561
561	13514	10532
562	13533	10504
563	13552	10476
564	13571	10448
565	13590	10420
566	13608	10392
567	13626	10364
568	13637	10329
569	13656	10301
570	13674	10273
571	13693	10245
572	13711	10217
573	13730	10190
574	13749	10162
575	13768	10134
576	13786	10107
577	13805	10079
578	13823	10051
579	13842	10023
580	13862	9997
581	13881	9969
582	13900	9942
583	13918	9914
584	13938	9887
585	13962	9864
586	13984	9839
587	14004	9812
588	14029	9789
589	14052	9765
590	14080	9744
591	14104	9720
592	14124	9694
593	14144	9667
594	14164	9641
595	14185	9615
596	14212	9594
597	14237	9570
598	14260	9546
599	14282	9521
600	14306	9498
601	14330	9474
602	14351	9448
603	14372	9423
604	14392	9396
605	14410	9369
606	14429	9342
607	14448	9315
608	14467	9288
609	14492	9265
610	14517	9242
611	14543	9220
612	14566	9196
613	14593	9174
614	14618	9151
615	14641	9127
616	14665	9103
617	14691	9081
618	14714	9057
619	14741	9035
620	14765	9011
621	14791	8988
622	14813	8964
623	14837	8940
624	14864	8918
625	14895	8898
626	14946	8891
627	14971	8868
628	14994	8843
629	15018	8820
630	15045	8798
631	15071	8775
632	15093	8751
633	15123	8730
634	15149	8707
635	15174	8684
636	15200	8661
637	15224	8638
638	15245	8613
639	15271	8590
640	15297	8567
641	15323	8544
642	15347	8520
643	15370	8496
644	15392	8471
645	15415	8447
646	15438	8423
647	15461	8398
648	15486	8375
649	15512	8352
650	15539	8330
651	15568	8309
652	15593	8286
653	15621	8264
654	15653	8244
655	15676	8220
656	15706	8199
657	15740	8181
658	15773	8162
659	15797	8138
660	15823	8115
661	15847	8091
662	15875	8069
663	15906	8049
664	15941	8030
665	16004	8026
666	16035	8005
667	16068	7986
668	16096	7963
669	16134	7946
670	16167	7927
671	16197	7905
672	16225	7883
673	16256	7862
674	16287	7842
675	16323	7823
676	16357	7804
677	16389	7784
678	16418	7762
679	16444	7738
680	16469	7714
681	16502	7694
682	16527	7670
683	16557	7649
684	16590	7629
685	16621	7608
686	16651	7586
687	16675	7561
688	16704	7539
689	16735	7518
690	16773	7500
691	16808	7481
692	16840	7460
693	16871	7439
694	16903	7418
695	16935	7397
696	16964	7374
697	16996	7353
698	17025	7331
699	17050	7307
700	17081	7285
701	17108	7262
702	17137	7240
703	17168	7218
704	17199	7196
705	17229	7175
706	17254	7150
707	17283	7128
708	17313	7106
709	17348	7086
710	17380	7064
711	17403	7039
712	17431	7016
713	17453	6991
714	17483	6969
715	17508	6944
716	17540	6923
717	17568	6900
718	17596	6876
719	17621	6852
720	17654	6831
721	17681	6808
722	17708	6784
723	17735	6760
724	17762	6737
725	17788	6713
726	17816	6690
727	17845	6667
728	17875	6645
729	17904	6622
730	17932	6598
731	17962	6576
732	17994	6554
733	18020	6530
734	18048	6507
735	18078	6484
736	18109	6462
737	18135	6438
738	18165	6415
739	18192	6392
740	18214	6366
741	18241	6342
742	18267	6318
743	18295	6295
744	18320	6270
745	18343	6245
746	18375	6223
747	18401	6199
748	18431	6176
749	18462	6154
750	18494	6132
751	18519	6107
752	18546	6083
753	18575	6060
754	18598	6035
755	18625	6011
756	18652	5987
757	18675	5962
758	18701	5938
759	18726	5913
760	18778	5897
761	18805	5873
762	18836	5850
763	18862	5826
764	18895	5804
765	18925	5781
766	18957	5759
767	18985	5735
768	19012	5711
769	19039	5687
770	19067	5663
771	19095	5639
772	19125	5616
773	19149	5591
774	19178	5567
775	19205	5543
776	19230	5519
777	19258	5495
778	19281	5470
779	19309	5446
780	19337	5422
781	19361	5397
782	19389	5373
783	19413	5348
784	19441	5324
785	19468	5300
786	19492	5275
787	19519	5251
788	19543	5226
789	19573	5203
790	19596	5177
791	19623	5153
792	19651	5129
793	19675	5104
794	19703	5080
795	19729	5056
796	19757	5032
797	19783	5007
798	19807	4982
799	19837	4959
800	19860	4934
801	19888	4910
802	19912	4885
803	19938	4860
804	19968	4837
805	19993	4812
806	20021	4788
807	20048	4763
808	20074	4739
809	20101	4715
810	20125	4690
811	20154	4666
812	20180	4641
813	20208	4617
814	20236	4593
815	20259	4568
816	20287	4544
817	20315	4520
818	20337	4494
819	20367	4470
820	20391	4445
821	20419	4421
822	20449	4397
823	20473	4373
824	20503	4349
825	20531	4325
826	20564	4301
827	20590	4277
828	20619	4253
829	20652	4229
830	20680	4205
831	20706	4181
832	20735	4157
833	20765	4133
834	20788	4107
835	20815	4083
836	20842	4058
837	20865	4033
838	20887	4008
839	20909	3982
840	20929	3956
841	20949	3931
842	20969	3905
843	20990	3879
844	21011	3854
845	21031	3828
846	21051	3802
847	21071	3777
848	21093	3751
849	21114	3726
850	21136	3700
851	21163	3676
852	21188	3651
853	21216	3627
854	21244	3602
855	21271	3578
856	21303	3554
857	21330	3530
858	21356	3505
859	21383	3480
860	21402	3455
861	21424	3429
862	21445	3404
863	21464	3378
864	21485	3353
865	21507	3327
866	21526	3302
867	21547	3276
868	21568	3251
869	21588	3225
870	21609	3200
871	21629	3174
872	21649	3149
873	21670	3124
874	21691	3098
875	21712	3073
876	21737	3048
877	21761	3023
878	21783	2998
879	21807	2973
880	21830	2948
881	21852	2923
882	21875	2898
883	21895	2873
884	21916	2847
885	21937	2822
886	21957	2797
887	21977	2771
888	21998	2746
889	22020	2721
890	22040	2696
891	22060	2670
892	22081	2645
893	22101	2620
894	22121	2595
895	22142	2570
896	22164	2545
897	22184	2519
898	22205	2494
899	22225	2469
900	22245	2444
901	22270	2419
902	22294	2394
903	22322	2370
904	22350	2346
905	22375	2321
906	22403	2297
907	22428	2272
908	22454	2247
909	22480	2223
910	22507	2198
911	22531	2174
912	22553	2149
913	22573	2124
914	22594	2098
915	22614	2073
916	22636	2048
917	22657	2023
918	22677	1998
919	22698	1973
920	22719	1948
921	22739	1923
922	22760	1898
923	22780	1873
924	22801	1848
925	22823	1823
926	22843	1798
927	22864	1773
928	22885	1749
929	22906	1724
930	22926	1699
931	22947	1674
932	22969	1649
933	22989	1624
934	23010	1599
935	23031	1574
936	23052	1549
937	23072	1525
938	23092	1500
939	23112	1475
940	23133	1450
941	23155	1425
942	23175	1400
943	23198	1376
944	23221	1351
945	23244	1326
946	23269	1302
947	23296	1277
948	23329	1253
949	23359	1229
950	23387	1205
951	23411	1180
952	23443	1156
953	23471	1131
954	23503	1107
955	23528	1082
956	23557	1058
957	23585	1034
958	23608	1009
959	23631	984
960	23654	959
961	23677	935
962	23706	910
963	23735	886
964	23762	861
965	23789	837
966	23822	812
967	23852	788
968	23885	764
969	23916	739
970	23955	715
971	23984	690
972	24016	666
973	24048	641
974	24075	617
975	24103	592
976	24134	568
977	24167	543
978	24195	518
979	24233	494
980	24258	469
981	24287	445
982	24315	420
983	24339	395
984	24369	371
985	24400	346
986	24429	321
987	24451	296
988	24479	272
989	24506	247
990	24545	222
991	24577	198
992	24603	173
993	24636	148
994	24666	123
995	24694	99
996	24718	74
997	24745	49
998	24771	24
999	24799	0
